technique,rmse_mean,rmse_std,model_size,runtime,detection
LASSO,0.1347828394002955,0.0777328882713162,6.891666666666667,0.014306694269180298,0.9666666666666667
ELASTICNET,0.13836431045171552,0.07884054668197948,12.516666666666667,0.009922281901041666,1.0
BMA_nnls,0.06304613848087832,0.026766643005365003,3.675,0.0729528288046519,0.6666666666666666
BMA_lasso,0.04835041974836065,0.010815415383750332,2.7083333333333335,0.6422405143578848,0.6833333333333333
BMA_elasticnet,0.04928211299921443,0.012405817388156132,2.691666666666667,0.6552317976951599,0.6833333333333333
BMAquad_nnls,0.3862612081971847,0.12075114133543706,4.625,0.15290365616480509,0.6166666666666667
BMAquad_lasso,0.49233638308325534,0.183228356754642,2.3666666666666667,0.62934916416804,0.3
BMAquad_elasticnet,0.4124572598351908,0.09624413978269097,2.5416666666666665,0.6890647093454997,0.3
Depth First Search - NNLS,0.041175994342718424,0.007032110448770845,2.4583333333333335,1.3788115282853444,0.7833333333333333
Breadth First Search - NNLS,0.04824562700703279,0.012384127393439045,3.55,4.028989211718241,0.44166666666666665
Depth First Search - LASSO,0.07323796674900153,0.04368208033200163,2.316666666666667,1.3575954059759776,0.7583333333333333
Breadth First Search - LASSO,0.3269577451076324,0.49148625392757694,3.808333333333333,3.9988751033941905,0.4583333333333333
Depth First Search - Elasticnet,0.0732760031135437,0.042555789067122006,2.45,1.3540143132209779,0.7916666666666666
Breadth First Search - Elasticnet,0.1497622004239509,0.10189131096993394,3.933333333333333,3.9556783894697825,0.45
